index,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
5,6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q
17,18,1,2,"Williams, Mr. Charles Eugene",male,23,0,0,244373,13,,S
19,20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C
26,27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C
28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,24,0,0,330959,7.8792,,Q
29,30,0,3,"Todoroff, Mr. Lalio",male,23,0,0,349216,7.8958,,S
31,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,48,1,0,PC 17569,146.5208,B78,C
32,33,1,3,"Glynn, Miss. Mary Agatha",female,18,0,0,335677,7.75,,Q
36,37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C
42,43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C
45,46,0,3,"Rogers, Mr. William John",male,30,0,0,S.C./A.4. 23567,8.05,,S
46,47,0,3,"Lennon, Mr. Denis",male,20,1,0,370371,15.5,,Q
47,48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q
48,49,0,3,"Samaan, Mr. Youssef",male,16,2,0,2662,21.6792,,C
55,56,1,1,"Woolner, Mr. Hugh",male,46,0,0,19947,35.5,C52,S
64,65,0,1,"Stewart, Mr. Albert A",male,64,0,0,PC 17605,27.7208,,C
65,66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C
76,77,0,3,"Staneff, Mr. Ivan",male,33,0,0,349208,7.8958,,S
77,78,0,3,"Moutal, Mr. Rahamin Haim",male,28,0,0,374746,8.05,,S
82,83,1,3,"McDermott, Miss. Brigdet Delia",female,31,0,0,330932,7.7875,,Q
87,88,0,3,"Slocovski, Mr. Selman Francis",male,20,0,0,SOTON/OQ 392086,8.05,,S
95,96,0,3,"Shorney, Mr. Charles Joseph",male,22,0,0,374910,8.05,,S
101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,29,0,0,349215,7.8958,,S
107,108,1,3,"Moss, Mr. Albert Johan",male,29,0,0,312991,7.775,,S
109,110,1,3,"Moran, Miss. Bertha",female,28,1,0,371110,24.15,,Q
121,122,0,3,"Moore, Mr. Leonard Charles",male,19,0,0,A4. 54510,8.05,,S
126,127,0,3,"McMahon, Mr. Martin",male,19,0,0,370372,7.75,,Q
128,129,1,3,"Peter, Miss. Anna",female,2,1,1,2668,22.3583,F E69,C
140,141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C
154,155,0,3,"Olsen, Mr. Ole Martin",male,27,0,0,Fa 265302,7.3125,,S
158,159,0,3,"Smiljanic, Mr. Mile",male,37,0,0,315037,8.6625,,S
159,160,0,3,"Sage, Master. Thomas Henry",male,13,8,2,CA. 2343,69.55,,S
166,167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,48,0,1,113505,55,E33,S
168,169,0,1,"Baumann, Mr. John D",male,48,0,0,PC 17318,25.925,,S
176,177,0,3,"Lefebre, Master. Henry Forbes",male,5,3,1,4133,25.4667,,S
180,181,0,3,"Sage, Miss. Constance Gladys",female,8,8,2,CA. 2343,69.55,,S
181,182,0,2,"Pernot, Mr. Rene",male,39,0,0,SC/PARIS 2131,15.05,,C
185,186,0,1,"Rood, Mr. Hugh Roscoe",male,39,0,0,113767,50,A32,S
186,187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,27,1,0,370365,15.5,,Q
